"HAMEG HMC8012 -Log-File"
"Date:"; 2018-04-17
"Start Time:"; 22:46:37
"Stop Time:"; 22:50:26

"Measurement Settings:"
"ADC Rate:";"Medium"
"AC Filter:";"------"
"Input Imp.:";"10M"

"Logging Settings:"
"Mode:";"Unlimited"
"Logging Interval[s]:";"1.00"
"Specified Logging Count:";"------"
"Specified Logging Time[s]:";"------"
"Actual Count:";228           ;


"DCI[A];DCV[V];Flag;Timestamp";
0.283852; -0.001755;"" ;22:48:27:996
0.182750; -0.002456;"" ;22:48:28:996
0.111016; -0.001531;"" ;22:48:29:996
0.112950; -0.002505;"" ;22:48:30:996
0.110716; -0.001928;"" ;22:48:31:996
0.112744; -0.001696;"" ;22:48:32:996
0.112686; -0.002161;"" ;22:48:33:996
0.112599; -0.001690;"" ;22:48:34:996
0.108696; -0.001861;"" ;22:48:35:996
0.108627; -0.001982;"" ;22:48:36:996
0.108589; -0.001545;"" ;22:48:37:996
0.091285; -0.001787;"" ;22:48:38:996
0.008763; -0.001713;"" ;22:48:39:996
0.008756; -0.001805;"" ;22:48:40:996
0.008766; -0.001999;"" ;22:48:41:996
0.008768; -0.001729;"" ;22:48:42:996
0.036196; -0.001682; Overrange ;22:48:43:996
0.123837; -0.001705;"" ;22:48:44:996
0.130856; -0.001626;"" ;22:48:45:996
0.130822; -0.001974;"" ;22:48:46:996
0.181614; -0.001739;"" ;22:48:47:996
0.259024; -0.001768;"" ;22:48:48:996
0.476638; -0.001536;"" ;22:48:49:996
0.522639; -0.001600;"" ;22:48:50:996
0.367109; -0.001813;"" ;22:48:51:996
0.312730; -0.001803;"" ;22:48:52:996
0.284313; -0.001721;"" ;22:48:53:996
0.285485; -0.001966;"" ;22:48:54:996
0.284175; -0.001971;"" ;22:48:55:996
0.337102; -0.001797;"" ;22:48:56:996
0.284237; -0.001996;"" ;22:48:57:996
0.283710; -0.002097;"" ;22:48:58:996
0.367143; -0.001882;"" ;22:48:59:996
0.283800; -0.001890;"" ;22:49:00:996
0.287664; -0.002102;"" ;22:49:01:996
0.283890; -0.002022;"" ;22:49:02:996
0.283966; -0.001835;"" ;22:49:03:996
0.283719; -0.001972;"" ;22:49:04:996
0.407869; -0.002145;"" ;22:49:05:996
0.284189; -0.001893;"" ;22:49:06:996
0.191281; -0.001907;"" ;22:49:07:996
0.111702; -0.001848;"" ;22:49:08:996
0.112414; -0.001787;"" ;22:49:09:996
0.111261; -0.002016;"" ;22:49:10:996
0.112377; -0.001790;"" ;22:49:11:996
0.112681; -0.001880;"" ;22:49:12:996
0.112623; -0.001732;"" ;22:49:13:996
0.108713; -0.002106;"" ;22:49:14:996
0.108668; -0.001744;"" ;22:49:15:996
0.108596; -0.001642;"" ;22:49:16:996
0.008804; -0.002094;"" ;22:49:17:996
0.008789; -0.001660;"" ;22:49:18:996
0.008800; -0.001990;"" ;22:49:19:996
0.008807; -0.001941;"" ;22:49:20:996
0.008786; -0.001788;"" ;22:49:21:996
0.027692; -0.001884; Overrange ;22:49:22:996
0.105517; -0.001688;"" ;22:49:23:996
0.105572; -0.001694;"" ;22:49:24:996
0.184570; -0.001995;"" ;22:49:25:996
0.180557; -0.001734;"" ;22:49:26:996
0.257894; -0.001732;"" ;22:49:27:996
0.442752; -0.001725;"" ;22:49:28:996
0.514212; -0.001575;"" ;22:49:29:996
0.360031; -0.001943;"" ;22:49:30:996
0.347142; -0.001876;"" ;22:49:31:996
0.284588; -0.001656;"" ;22:49:32:996
0.285727; -0.002077;"" ;22:49:33:996
0.285338; -0.001940;"" ;22:49:34:996
0.362381; -0.001500;"" ;22:49:35:996
0.283762; -0.002178;"" ;22:49:36:996
0.285424; -0.001990;"" ;22:49:37:996
0.283786; -0.001740;"" ;22:49:38:996
0.284455; -0.002202;"" ;22:49:39:996
0.282703; -0.001966;"" ;22:49:40:996
0.283615; -0.001812;"" ;22:49:41:996
0.284132; -0.002204;"" ;22:49:42:996
0.283420; -0.001977;"" ;22:49:43:996
0.284161; -0.001835;"" ;22:49:44:996
0.293807; -0.002179;"" ;22:49:45:996
0.284113; -0.001972;"" ;22:49:46:996
0.331913; -0.001859;"" ;22:49:47:996
0.113297; 0.148264;"" ;22:49:48:996
0.110862; -0.001961;"" ;22:49:49:996
0.112847; -0.001930;"" ;22:49:50:996
0.110632; -0.002127;"" ;22:49:51:996
0.112671; -0.001810;"" ;22:49:52:996
0.112607; -0.001775;"" ;22:49:53:996
0.108703; -0.002052;"" ;22:49:54:996
0.108653; -0.001720;"" ;22:49:55:996
0.108596; -0.001707;"" ;22:49:56:996
0.108557; -0.002031;"" ;22:49:57:996
0.008776; 0.121152;"" ;22:49:58:996
0.008778; -0.002011;"" ;22:49:59:996
0.008778; -0.001885;"" ;22:50:00:996
0.008780; -0.001873;"" ;22:50:01:996
0.008791; -0.001967;"" ;22:50:02:996
0.082913; 0.140109;"" ;22:50:03:996
0.128026; -0.001629;"" ;22:50:04:995
0.106923; -0.002009;"" ;22:50:05:995
0.212808; -0.001879; Clipped ;22:50:06:995
0.162587; -0.001973;"" ;22:50:07:995
0.309084; -0.001500;"" ;22:50:08:995
0.488758; -0.001941;"" ;22:50:09:995
0.481936; -0.001681;"" ;22:50:10:995
0.321588; -0.001711;"" ;22:50:11:995
0.326088; -0.002208;"" ;22:50:12:995
0.286610; -0.001815;"" ;22:50:13:995
0.297852; -0.001854;"" ;22:50:14:995
0.388016; -0.002577;"" ;22:50:15:995
0.285286; -0.001769;"" ;22:50:16:995
0.285077; -0.001873;"" ;22:50:17:995
0.284806; -0.002193;"" ;22:50:18:995
0.289103; -0.001906;"" ;22:50:19:995
0.285053; -0.001888;"" ;22:50:20:995
0.285044; -0.002160;"" ;22:50:21:995
0.285020; -0.001892;"" ;22:50:22:995
0.331937; -0.001867;"" ;22:50:23:995
0.285215; -0.002162;"" ;22:50:24:995
